track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,mode,speechiness,tempo,valence
cdu81VEI1czwicsfuqdTyR,32,0.818,0.503,604640,0.662,0,0.833,Major,0.933,81.34,0.0695
4ouxCDraTOdUJJcFy4Zbkk,82,0.0319,0.731,200373,0.861,0,0.0829,Major,0.0323,104.034,0.78
Xh4pe1PuQMDQ1QDk9ewyBq,4,0.894,0.295,774227,0.112,0.34,0.387,Major,0.0388,130.902,0.173
He56Qu7Cf5Dfa5GmnDNEoG,25,0.878,0.488,231265,0.476,0,0.976,Major,0.953,45.291,0.152
XSQJoOJd6h2GbCHalJjgJD,10,0.962,0.382,148861,0.971,2.95e-5,0.925,Major,0.754,88.71,0.14
h5uqHAmIwCBX1AX6Hp29y0,29,0.926,0.495,285067,0.111,0.12,0.0772,Minor,0.0506,78.772,0.436
YgTaI6skRlsyVO7pKtnetH,23,0.857,0.51,53756,0.527,0,0.961,Minor,0.404,133.877,0.823
KYmjxc3GP4Lm30if1rGmhp,6,0.968,0.117,423667,0.0566,0.331,0.101,Minor,0.0487,75.058,0.0531
1t8ByQItMdCtn7NaUMBoBf,30,0.97,0.292,442612,0.0238,0.202,0.0895,Major,0.0453,98.53,0.136
CjJN2osE6lCtiAJoFwMpz5,61,0.585,0.668,186666,0.524,0.397,0.252,Minor,0.0391,139.901,0.621
9QBZ3gUc3lWLx1lt5aJ9GZ,24,0.74,0.623,98320,0.711,0,0.672,Minor,0.933,62.688,0.787
6ueW9EkTGNSsiXgRwNbSSD,50,0.63,0.125,109667,0.342,0.953,0.143,Major,0.0388,76.679,0.049
m7Zyr7ztJiMvrJLSQnDFp6,0,0.932,0.221,66453,0.227,0.854,0.101,Major,0.0371,113.293,0.323
8ncTdKC0hNfXkGitqYw1o4,10,0.749,0.503,59773,0.978,0,0.871,Minor,0.614,169.82,0.283
Ahle7NkLeSzHTiY0WYhuaP,43,0.869,0.241,551347,0.131,0.754,0.223,Minor,0.0435,162.985,0.073
KUjSepNzzaWO1KspjEI8iA,27,0.992,0.318,228400,0.00319,0.79,0.116,Major,0.0501,98.973,0.133
jiNS8vw2Ihlghy83f3WAos,12,0.908,0.716,179537,0.697,0,0.873,Major,0.921,100.777,0.398
XX58XnO1m2W2ncjMFxWgJk,23,0.894,0.648,98173,0.717,0,0.74,Minor,0.906,47.458,0.391
3INMIbdBWlufQvBQfNXVG2,54,0.978,0.268,161800,0.227,0.927,0.262,Minor,0.036,62.673,0.045
YDsKPJDqmSqr2tfn46gK0p,31,0.744,0.383,253133,0.286,0.937,0.282,Major,0.0291,100.551,0.357
KLAU4MjScWCC5brFtBqsdF,10,0.869,0.524,106933,0.743,0,0.867,Major,0.955,79.229,0.493
vfN5pGpdQRzyIDzglwdygq,38,0.99,0.265,165000,0.133,0.885,0.137,Minor,0.0449,78.338,0.0961
aCm3xK1f7HMsUVy0dAwz2m,36,0.0825,0.566,220400,0.806,0,0.132,Major,0.0303,128.093,0.282
PWIBv4laRUNaVD2wUWep1Q,19,0.817,0.489,126492,0.774,0,0.917,Minor,0.947,171.214,0.164
iLeKTLOK5c85X583W03B2B,51,0.733,0.261,266587,0.451,5.28e-4,0.0936,Major,0.035,110.625,0.144
xil1XPdzRiLsz65a2hvYxI,10,0.00215,0.851,62900,0.312,0,0.0557,Minor,0.342,107.792,0.89
FnohF5Fdv6EnprdWHA5A0D,14,0.89,0.683,52600,0.528,0,0.367,Minor,0.926,79.397,0.516
u73mRtZLPFhaWY9Z38lOgl,26,0.991,0.245,280267,0.0407,0.869,0.083,Minor,0.0369,80.009,0.0775
f8xpyM2QNwLht6VLiaNnof,12,0.828,0.508,156320,0.562,0,0.778,Major,0.944,65.552,0.225
SXTPi9KlNRwFc51jzbFpkr,31,0.803,0.601,288053,0.899,0,0.89,Major,0.792,121.607,0.704
