circuit,gender,year,attacks,kills,errors,aces,serve_errors,blocks,digs,win
AVP,M,2004,68,32,17,3,3,11,24,win
AVP,M,2004,45,26,5,1,0,4,11,win
AVP,M,2004,84,41,12,1,4,5,33,win
AVP,M,2004,45,31,3,1,3,4,13,win
AVP,M,2004,52,33,4,2,1,10,14,win
AVP,M,2004,59,26,5,0,1,5,22,win
AVP,M,2004,37,28,1,0,3,7,6,win
AVP,M,2004,58,33,5,0,0,5,22,win
AVP,M,2004,69,38,10,0,5,9,11,win
AVP,M,2004,58,37,8,0,1,10,14,win
AVP,M,2004,66,41,4,0,4,5,17,win
AVP,M,2004,52,31,6,2,6,0,20,win
AVP,M,2004,47,33,7,0,3,2,6,win
AVP,M,2004,40,25,13,1,1,8,21,win
AVP,M,2004,63,27,10,4,6,5,11,win
AVP,M,2004,77,40,14,1,4,17,17,win
AVP,M,2004,38,20,4,1,3,3,14,win
AVP,M,2004,41,21,17,2,3,13,26,win
AVP,M,2004,39,22,7,3,1,2,15,win
AVP,M,2004,55,31,24,2,4,17,24,win
AVP,M,2004,68,37,15,1,7,5,21,win
AVP,M,2004,51,29,7,3,2,5,17,win
AVP,M,2004,54,36,9,1,0,6,18,win
AVP,M,2004,31,17,6,2,5,4,6,win
AVP,M,2004,32,22,2,2,4,3,7,win
AVP,M,2004,36,23,13,0,2,12,17,win
AVP,M,2004,69,31,15,3,9,1,16,win
AVP,M,2004,38,23,5,1,1,7,6,win
AVP,M,2004,40,26,4,2,1,5,6,win
AVP,M,2004,42,33,3,0,6,1,9,win
AVP,M,2004,44,32,3,4,1,2,15,win
AVP,M,2004,37,26,7,1,0,6,11,win
AVP,M,2004,61,36,9,0,2,1,11,win
AVP,M,2004,37,29,3,1,1,3,10,win
AVP,M,2004,47,32,6,3,2,2,10,win
AVP,M,2004,35,26,3,2,2,4,7,win
AVP,M,2004,48,30,7,3,4,2,13,win
AVP,M,2004,47,27,4,0,2,9,16,win
AVP,M,2004,58,32,6,0,1,9,11,win
AVP,W,2004,68,35,9,4,4,1,33,win
AVP,W,2004,33,22,3,6,3,1,13,win
AVP,W,2004,39,27,2,3,1,3,17,win
AVP,W,2004,64,32,7,5,5,2,23,win
AVP,W,2004,67,33,5,2,4,3,28,win
AVP,W,2004,48,36,6,1,4,4,16,win
AVP,W,2004,51,21,6,3,3,4,22,win
AVP,W,2004,63,41,11,4,8,2,15,win
AVP,W,2004,49,30,9,6,2,3,17,win
AVP,W,2004,45,23,7,3,2,3,21,win
AVP,W,2004,71,34,8,2,1,5,21,win
AVP,W,2004,36,21,5,5,1,1,12,win
AVP,W,2004,47,22,9,2,2,5,13,win
